Scheme_Name	Asset_Value
Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	110.0882
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.8852
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.603
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	154.4343
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.4825
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.4033
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	114.0676
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.5575
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	375.9916
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	564.4145
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	390.7489
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2790.6231
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1037.4535
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.9940
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2703.2678
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1037.2543
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.9679
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9793
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.8185
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.6877
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.6877
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.8185
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9104
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.6308
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4768
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4584
Bandhan Banking and PSU Fund - Direct Growth	25.9461
Bandhan Banking and PSU Fund - Direct IDCW	13.6483
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4628
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0188
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.6008
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8788
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6142
Bandhan Banking and PSU Fund - Regular Growth	25.1815
Bandhan Banking and PSU Fund - Regular IDCW	13.5979
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7059
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.9144
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.4716
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.9876
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.3496
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.8945
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.5053
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.756
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1889
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.418
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.5077
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1845
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.6067
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.7358
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1888
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.4052
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4971
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1845
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	26.1629
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	19.0175
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5055
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.941
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5532
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	25.2193
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.1361
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0341
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1865
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1481
Franklin India Banking & PSU Debt Fund - Direct - Growth	24.1457
Franklin India Banking & PSU Debt Fund - Growth	23.0832
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.6136
Franklin India Banking and PSU Debt Fund - IDCW	10.9828
HDFC Banking and PSU Debt Fund - Growth Option	23.5962
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.6062
HDFC Banking and PSU Debt Fund - IDCW Option	10.1705
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0371
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	26.2468
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3691
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3507
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.8877
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6096
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3235
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	35.0820
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1205
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.6107
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.1027
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.369
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2486.3886
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.493
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1014.1088
Invesco India Banking and PSU Fund - Growth Option	2318.9481
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1065.0459
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.7037
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.7054
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.3257
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.3268
Kotak Banking and PSU Debt - Growth	67.2228
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.6296
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	70.1362
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.254
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.5463
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.517
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0561
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.4448
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.6715
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.3505
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3887
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5690
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5636
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2491
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2502
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.1049
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3806
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.1049
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7495
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.9892
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3798
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.2683
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6813
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9225
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.1047
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.2683
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1498.8996
SBI BANKING & PSU FUND - Direct Plan - Growth	3402.9350
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1318.0823
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1495.5689
SBI BANKING & PSU FUND - Regular Paln - Growth	3197.2794
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1458.6869
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1232.9689
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1458.3393
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
